# Every model named in docs/DESIGN-BRIEF.md.
# wired=yes  the running game asks for this name today — drop the file in and it appears.
# wired=no   named for a later milestone; needs the milestone's code before it renders.
# Regenerate the base list with tools/asset-report.sh --refresh.
asset	folder	wired
hero_glacier_downed	heroes	yes
hero_glacier_revive	heroes	no
hero_ember_revive	heroes	no
hero_forge_downed	heroes	yes
hero_forge_revive	heroes	no
hero_specter_downed	heroes	yes
hero_specter_revive	heroes	no
hero_tempest_downed	heroes	yes
hero_tempest_revive	heroes	no
proj_lance_bolt_t2	vfx	no
proj_lance_bolt_t3	vfx	no
proj_nova_shell_t2	vfx	no
proj_nova_shell_t3	vfx	no
proj_skywatch_bolt_t2	vfx	no
proj_skywatch_bolt_t3	vfx	no
switchyard_column	maps	yes
switchyard_path_ground	maps	yes
switchyard_skybox	maps	yes
switchyard_terrain_scatter	maps	yes
tower_detector_analysis_s*	structures	yes
tower_detector_field_s*	structures	yes
tower_filament_optics_s*	structures	yes
tower_filament_peak_s*	structures	yes
tower_filament_ramp_s*	structures	yes
tower_overclock_efficiency_s*	structures	no
tower_overclock_network_s*	structures	no
tower_overclock_potency_s*	structures	no
vfx_impact_arc	vfx	no
vfx_impact_lance	vfx	no
vfx_impact_nova	vfx	no
vfx_impact_skywatch	vfx	no
vfx_muzzle_arc	vfx	no
vfx_muzzle_lance	vfx	no
vfx_muzzle_nova	vfx	no
vfx_muzzle_skywatch	vfx	no
# Beyond the brief: extras Claude Design shipped in the 2026-09-07 drop (state variants,
# M4/M5 enemies, the two new factions' hands, status VFX). Same rule: wired=yes means the
# integration already consumes them; the rest wait on the system named in ASSET-DELIVERY.md.
enemy_leaper_airborne	enemies	no
enemy_leaper_windup	enemies	no
enemy_ram_enraged	enemies	no
hands_glacier	weapons	no
hands_specter	weapons	no
shared_cache_opened	maps	no
shared_teleporter_pad_charged	maps	no
shared_teleporter_pad_cooldown	maps	no
shared_teleporter_pad_idle	maps	no
shared_wall_destructible_broken	maps	no
shared_wall_destructible_debris	maps	no
vfx_lanewash	vfx	no
vfx_status_poison	vfx	no
vfx_status_reveal	vfx	no
vfx_status_stun	vfx	no
# Hand poses: design authors three (rifle / pistol / tool) and the base file is the rifle;
# the export emits the other two beside it. Requested by the viewmodel per platform.
hands_firstperson_pistol	weapons	yes
hands_firstperson_tool	weapons	yes
hands_ember_pistol	weapons	yes
hands_ember_tool	weapons	yes
hands_forge_pistol	weapons	yes
hands_forge_tool	weapons	yes
hands_tempest_pistol	weapons	yes
hands_tempest_tool	weapons	yes
hands_glacier_pistol	weapons	yes
hands_glacier_tool	weapons	yes
hands_specter_pistol	weapons	yes
hands_specter_tool	weapons	yes
# M3 gunsmith content the code asks for and design has not modelled yet (not on the forward
# manifest either): the shock and toxin rounds, their tracers, and the toxin feed infusion.
ammo_shock	weapons	yes
ammo_toxin	weapons	yes
attach_toxinfeed	weapons	yes
vfx_tracer_shock	vfx	yes
vfx_tracer_toxin	vfx	yes
